pl_name,pl_rade,pl_bmasse,pl_orbsmax,pl_orbper,pl_insol,pl_eqt,pl_orbeccen,st_teff,st_rad,st_mass
TOI-4961 b,12.34108775,572.0911326,0.0726,7.479182,115.0,919.0,0.182,5380.0,0.912,0.912
TOI-4994 b,8.54124329,88.99195396,0.1515,21.491984,40.0,717.6,0.319,5640.0,1.055,1.005
TOI-500 b,1.166,1.42,0.01189,0.548177,1138.0,1617.0,0.063,4440.0,0.678,0.74
TOI-5005 b,6.25,32.7,0.06614,6.3085044,226.0,1040.0,,5749.0,0.93,0.97
TOI-5027 b,10.76062147,642.01338214,0.093,10.24368,190.912,1056.0,0.385,5909.0,0.92,1.02
TOI-5076 b,3.48935569,16.14568308,0.1481,23.443162,12.8373,550.0,0.0,4780.0,0.844,0.789
TOI-5082.01,2.54811,7.03,0.051204842,4.240122,254.588,1164.91,,5670.0,0.93,0.99665
TOI-5108 b,6.6,32.0,0.073,6.753581,122.785,1180.0,,5808.0,1.29,1.1
TOI-5110 b,11.98240037,921.7023803,0.2157,30.158577,15.1027,976.0,0.745,6160.0,2.333,1.469
TOI-5126 b,4.74,20.2,0.06519,5.4588385,467.0,1442.0,0.0,6150.0,1.241,1.24
TOI-5126 c,3.86,14.2,0.1439,17.8999,96.0,971.0,0.0,6150.0,1.241,1.24
TOI-5153 b,11.88151954,1036.12060682,0.158,20.33003,49.5559,906.0,0.091,6300.0,1.4,1.24
TOI-5181 A b,13.34989601,330.54154328,0.0522,3.8922295,1053.0,1585.0,0.15,6060.0,1.53,1.25
TOI-519 b,11.54525012,147.15455244,0.0159,1.2652328,54.0,687.0,0.33,3322.0,0.35,0.335
TOI-5205 b,11.6,343.0,0.0199,1.630757,49.0,737.0,0.02,3430.0,0.394,0.392
TOI-521 b,1.98,5.3,0.0195,1.54285047,66.0,794.0,0.0,3544.0,0.421,0.42
TOI-5210 b,10.72699453,81.99972901,0.0557,4.5661061,456.0,1286.0,0.066,5723.0,1.209,1.105
TOI-5218 b,9.86,657.0,0.0469,4.291452,62.0,783.0,0.0,4230.0,0.708,0.739
TOI-5232 b,12.778238,743.71847238,0.05593,4.0966692,1193.86,1772.0,0.035,6500.0,1.785,1.389
TOI-5261 b,11.60129502,3651.84839643,0.05134,4.1509768,159.592,1244.0,0.1585,5790.0,1.021,1.037
TOI-5293 A b,11.9,170.4,0.034,2.930289,34.6,675.0,0.38,3586.0,0.52,0.54
TOI-530 b,9.30345398,127.1313628,0.052,6.387597,14.259,565.0,0.0,3659.0,0.54,0.53
TOI-5300 b,9.86390302,190.6970442,0.0295,2.262196,198.0,1043.0,0.0,4610.0,0.65,0.67
TOI-5301 b,13.09208946,1182.32167404,0.073,5.858858,429.794,1648.0,0.33,6240.0,2.19,1.483
TOI-5319 b,2.83,8.4,0.0506,4.07853,38.7885,695.0,,3580.0,0.485,0.5
TOI-532 b,5.82,61.5,0.0296,2.3266508,94.1,867.0,0.0,3927.0,0.612,0.639
TOI-5322 b,16.6117094,184.02264765,0.0604,5.4233207,554.0,1350.0,0.055,5692.0,1.462,0.998
TOI-5340 b,15.07607904,270.15414595,0.0628,4.9394392,1004.0,1566.0,0.13,5990.0,1.842,1.35
TOI-5344 b,10.60369574,130.94530368,0.04041,3.792622,38.0,689.0,0.054,3747.0,0.588,0.612
TOI-5350 b,12.41955062,2094.48920213,0.0796,7.581367,321.879,1195.0,0.0165,6220.0,1.263,1.167
TOI-5386 A b,14.70618268,155.10026262,0.04856,3.62156552,817.0,1488.0,0.072,6094.0,1.245,1.165
TOI-5388.01,1.89426,4.25,0.024335855,2.594675,3.3023,601.35,,3495.0,0.31,0.28572
TOI-5398 b,10.3,58.7,0.098,10.590547,118.413,947.0,0.13,6000.0,1.051,1.146
TOI-5398 c,3.52,11.8,0.057,4.77271,370.603,1242.0,0.14,6000.0,1.051,1.146
TOI-540 b,0.903,0.674,0.01223,1.2391491,23.4,611.0,0.0,3216.0,0.1895,0.159
TOI-544 b,2.018,2.89,0.0225,1.548352,240.195,999.0,0.0,4169.0,0.623,0.631
TOI-5542 b,11.30986153,419.53349724,0.332,75.12375,9.6,441.0,0.018,5700.0,1.058,0.89
TOI-5573 b,9.75,112.0,0.0712,8.79758977,12.92,528.0,0.072,3790.0,0.594,0.619
TOI-558 b,12.17295304,1147.36054927,0.1291,14.574071,248.8554,1061.0,0.298,6466.0,1.496,1.349
TOI-559 b,12.22899794,1910.14872607,0.0723,6.9839095,404.915,1180.0,0.151,5925.0,1.233,1.026
